Институт кибербезопасности и цифровых технологий;Защита информации;10.03.01;Информационная безопасность
Институт кибербезопасности и цифровых технологий;Защита информации;10.05.03;Информационная безопасность автоматизированных систем
Институт кибербезопасности и цифровых технологий;Защита информации;10.04.01;Информационная безопасность
Институт кибербезопасности и цифровых технологий;Прикладные информационные технологии;10.05.04;Информационно-аналитические системы безопасности
Институт кибербезопасности и цифровых технологий;Прикладные информационные технологии;09.04.02;Информационные системы и технологии
Институт кибербезопасности и цифровых технологий;Безопасность программных решений;09.04.02;Информационные системы и технологии
Институт кибербезопасности и цифровых технологий;Интеллектуальные системы информационной безопасности;10.05.05;Безопасность информационных технологий в правоохранительной сфере
Институт кибербезопасности и цифровых технологий;Интеллектуальные системы информационной безопасности;10.04.01;Информационная безопасность
Институт кибербезопасности и цифровых технологий;Аппаратное, программное и математическое обеспечение вычислительных систем;09.03.02;Информационные системы и технологии
Институт кибербезопасности и цифровых технологий;Приборы и информационно-измерительные системы;12.03.01;Приборостроение
Институт кибербезопасности и цифровых технологий;Информационное противоборство;10.03.01;Информационная безопасность
Институт кибербезопасности и цифровых технологий;Предметно-ориентированные информационные системы;09.03.02;Информационные системы и технологии
Институт кибербезопасности и цифровых технологий;Правовое обеспечение национальной безопасности;40.05.01;Правовое обеспечение национальной безопасности
Институт кибербезопасности и цифровых технологий;Цифровые технологии обработки данных;09.03.02;Информационные системы и технологии

